NomeCompleto;DataNascimento;CPF;Município;Logradouro;Nro;Complemento;Bairro;TelefoneCelular;PossuiPet
ARTUR FIRMINO DA SILVA NETO;17/02/1999;11111111532;São Paulo;RUA SILVA TELES;1528;;BELENZINHO;11900219013;S
DILTON  ALVES DE MEDEIROS;22/09/1956;11111111845;São Paulo;RUA ANTONIO CORUJA;67;;BOM RETIRO;11997255273;N
PIETRO PERUGINO;05/10/1961;11111111267;São Paulo;RUA JARAGUA;S/N;;BOM RETIRO;11982064284;N
DANIEL DE ANDRADE VIEIRA;18/04/1993;11111111800;São Paulo;RUA MATIAS TEIXEIRA;165;;BOSQUE DA SAUDE;11983304373;N
ANTONIO CARLOS FERREIRA BONETTI;02/01/1994;11111111665;São Paulo;RUA CARAMURU;S/N;;BOSQUE DA SAUDE;11941451673;S
JOHN MICHAEL OSBOURNE;03/12/1948;11111111112;São Paulo;RUA SAMPSON C MENDES JUNIOR;S/N;ap 1202;BRAS;31989502136;S
ELEANDRO APARECIDO LIMA;26/05/1974;11111111310;São Paulo;RUA CONSELHEIRO BELISARIO;S/N;;BRAS;11968733424;N
CLAUDIO GOMES FONSECA;22/11/1974;11111111727;São Paulo;RUA TORQUATO NETO;S/N;;BRAS;11960672913;N
GERSON PINHEIRO DE SÁ;12/04/1977;11111111316;São Paulo;RUA HENRIQUE DIAS;S/N;;BRAZ;11966873304;N
ANTONIO CARLOS ALVES DA SILVA;27/09/2002;11111111653;São Paulo;RUA FIRMIANO PINTO;S/N;;BRAZ;11937731433;N
LORENZO COSTA;18/10/1972;11111111243;São Paulo;RUA DOS TRILHOS C BRESSER;S/N;;BRESSER;11989504764;N
APARECIDO RAVAZZI;06/01/1986;11111111300;São Paulo;RUA ROQUE PETRELA;S/N;;BROOKLIM PAULISTA;11971833624;S
FRANCISCA QUELINDEJARA VASCONCELOS SOBIESKI;21/09/1963;11111111905;São Paulo;RUA GODOI COLACO;1016;;BROOKLIN PAULISTA;11997694437;S
ANDRÉ MARTINS DE CASTRO LAMEIRA;03/02/1976;11111111486;São Paulo;RUA ACAIPE;S/N;;BURGO PAULISTA;11914169904;S
JAMES NEWELL OSTERBERG;21/04/1947;11111111125;São Paulo;RUA PLINIO SALGADO;S/N;;BUTANTA;11947218349;S
FRANCISCO NUNES SOBRINHO;01/06/1961;11111111937;São Paulo;RUA LUIS ANTONIO MARTINS;S/N;;BUTANTA;11996413797;N
EVANDRO LUIZ GONÇALVES LEAL;17/01/1983;11111111516;São Paulo;RUA AGOSTINHO CANTU C/ ROMAO GOMES;S/N;;BUTANTA;11904869304;N
BRÍGIDO FERNANDES DA CRUZ;15/05/2000;11111111591;São Paulo;AV CLAUDIO FRANCHI;49;;BUTANTA;11918510193;N
APARECIDO DA SILVA LARANJEIRA;25/09/1999;11111111714;São Paulo;RUA CLEUSA MILOCHI;S/N;;CACHOEIRINHA;11956642653;S
JURACY DA CONCEIÇÃO DOS SANTOS;03/04/1955;11111111859;São Paulo;RUA VITORIO EMANUEL;312;;CAMBUCI;11999535357;N
ARCESILAO DE PITANE;25/05/1957;11111111130;São Paulo;RUA INGLES DE SOUZA;618;;CAMBUCI;11963533544;S
ANDRÉ RICARDO BARBOSA;01/02/1982;11111111478;São Paulo;RUA TEODORETO SOUTO;957;;CAMBUCI;11916650064;N
ARNALDO TORRES DE MAGALHAES FILHO;15/04/1995;11111111525;São Paulo;RUA DOM BOSCO;75;;CAMBUCI;11902079124;S
CRISTIANE ARAUJO DA SILVA;09/07/1999;11111111772;São Paulo;RUA STEFANO;657;;CAMBUCI;11974623813;S
GIULIANO PESELLO;23/04/1957;11111111236;São Paulo;RUA CONDE DE PORTO ALEGRE;S/N;;CAMPO BELO;11991674904;S
DAVID ZYLBERGELD NETO;01/04/1962;11111111919;São Paulo;RUA CRISTOVAO PEREIRA;1223;;CAMPO BELO;11997134157;S
LORENZO DI CREDI;07/02/1974;11111111244;São Paulo;RUA GIL EANES;S/N;;CAMPO BELO;11989194744;S
EDJANE LIMA DE AZEVEDO;28/04/2002;11111111614;São Paulo;RUA CONDE DE PORTO ALEGRE;762;;CAMPO BELO;11925640653;N
IBRAHIM AHMAD HAMMOUD;19/05/1976;11111111925;São Paulo;AV AMADEU DA SILVA SAMELLO;S/N;;CAMPO LIMPO;11996894037;N
